Episode_Reward,Episode_Return,Success
-220.5146190156881,-125.43244015895162,0
-290.86478815986504,-136.92899320990216,0
-121.1495147385565,-65.7589421961299,0
-227.5853457397092,-132.59283242139512,0
-366.86773945743437,-202.14085376364667,0
-189.37835189556836,-89.0573616151512,0
-53.80982479206192,-45.126369235143095,0
-227.5360751487887,-96.10113343483917,0
-97.78025101581134,-41.896074116803206,0
-214.12175632314705,-91.37247030324755,0
-117.37766738017498,-67.4137209133343,0
-155.37398596750836,-75.03911561943765,0
-76.49086993551029,-43.59817592362486,0
-111.76519272791998,-49.92294077660325,0
-260.7319337065826,-123.72612420370152,0
-108.90099820205448,-49.84787757904154,0
-110.11790530429354,-57.23872183624952,0
-97.51906973175123,-46.47484230792514,0
-50.732868030418615,-28.873353951587095,0
-209.22444385177926,-94.25759914749185,0
-101.68379366084707,-34.87113827444506,0
-101.83869737233645,-40.42772169870924,0
-52.507093850348426,-30.38663285411391,0
-148.31950959956794,-72.10565888645326,0
-226.85852017404406,-90.16712489219587,0
-210.67650740960065,-75.48284043275615,0
-136.30260247098278,-60.596629271895615,0
-84.26035121575421,-38.18498199995117,0
-87.12950648927695,-48.99213181286194,0
-80.42020971673116,-31.997648874694832,0
-112.35603522288656,-34.34250578082254,0
-101.19186053003926,-50.116032632033686,0
-163.54943951022443,-67.44071000592206,0
-345.5742675085272,-183.97183791932358,0
-87.17549768323381,-43.529211802223934,0
-92.29661849049785,-48.96649585446792,0
-435.40880552583303,-184.3655497491672,0
-142.7140414969242,-66.39036584780163,0
-0.22731964882726174,3.3380473085932687,0
-244.56756766464943,-110.13969115821362,0
-126.03379699602507,-59.723545220757416,0
-225.02959281298212,-96.0587630261543,0
-89.5414703711848,-40.72117095182695,0
-97.20172464750354,-54.233177426576,0
-285.45672921720893,-119.1793590785045,0
-215.7094847195564,-97.46412536601136,0
-138.80054383166404,-70.25232453990422,0
-187.3892149829287,-68.95740145670479,0
-202.20006293995965,-67.6942628631699,0
-99.47086425731058,-30.095079651039693,0
-120.24319192219401,-57.71718092661617,0
-141.9157098807018,-81.36405348729328,0
-173.84417340391263,-76.54545909063404,0
-80.66348022594022,-18.776691901650594,0
-118.4932227579501,-62.897400371508155,0
-229.53284362795017,-98.94911135689834,0
-86.04942336198914,-18.52446159752658,0
-59.75398762385135,-13.058985332198779,0
-105.34671504584972,-50.62941203250576,0
-97.59815695056821,-58.38783229732189,0
-97.7406793242577,-34.26224838863245,0
-89.42267394719255,-37.316359319147324,0
-128.9101407533869,-42.77264981051646,0
-119.33685721136675,-44.471986548453906,0
-382.33134048414047,-138.47896835240618,0
99.5495577413281,41.05910404832569,0
-93.42680208059934,-42.25487984316263,0
-314.42074783305964,-89.09297872908043,0
-93.87402056212203,-39.16133282138031,0
-262.57824750361164,-126.20864515344637,0
-116.59577912234981,-53.940428751367904,0
-91.5083828572995,-38.27963032182162,0
-186.6308145406462,-71.64025877381337,0
-98.21884989040815,-44.175709559609274,0
-15.860835146176441,4.7623475356494165,0
-224.20839824729285,-43.16929994612797,0
-236.9837566346131,-98.56353770908608,0
14.74400316507111,8.291365693495305,0
-109.24785127484827,-39.6794819616332,0
-4.631224687736761,0.271341679858915,0
-63.34342522631312,-32.14948047120818,0
